0 0 1
0 0.010101 0.9899
0 0.020202 0.9798
0 0.030303 0.9697
0 0.040404 0.9596
0 0.050505 0.94949
0 0.060606 0.93939
0 0.070707 0.92929
0 0.080808 0.91919
0 0.090909 0.90909
0 0.10101 0.89899
0 0.11111 0.88889
0 0.12121 0.87879
0 0.13131 0.86869
0 0.14141 0.85859
0 0.15152 0.84848
0 0.16162 0.83838
0 0.17172 0.82828
0 0.18182 0.81818
0 0.19192 0.80808
0 0.20202 0.79798
0 0.21212 0.78788
0 0.22222 0.77778
0 0.23232 0.76768
0 0.24242 0.75758
0 0.25253 0.74747
0 0.26263 0.73737
0 0.27273 0.72727
0 0.28283 0.71717
0 0.29293 0.70707
0 0.30303 0.69697
0 0.31313 0.68687
0 0.32323 0.67677
0 0.33333 0.66667
0 0.34343 0.65657
0 0.35354 0.64646
0 0.36364 0.63636
0 0.37374 0.62626
0 0.38384 0.61616
0 0.39394 0.60606
0 0.40404 0.59596
0 0.41414 0.58586
0 0.42424 0.57576
0 0.43434 0.56566
0 0.44444 0.55556
0 0.45455 0.54545
0 0.46465 0.53535
0 0.47475 0.52525
0 0.48485 0.51515
0 0.49495 0.50505
0 0.50505 0.49495
0 0.51515 0.48485
0 0.52525 0.47475
0 0.53535 0.46465
0 0.54545 0.45455
0 0.55556 0.44444
0 0.56566 0.43434
0 0.57576 0.42424
0 0.58586 0.41414
0 0.59596 0.40404
0 0.60606 0.39394
0 0.61616 0.38384
0 0.62626 0.37374
0 0.63636 0.36364
0 0.64646 0.35354
0 0.65657 0.34343
0 0.66667 0.33333
0 0.67677 0.32323
0 0.68687 0.31313
0 0.69697 0.30303
0 0.70707 0.29293
0 0.71717 0.28283
0 0.72727 0.27273
0 0.73737 0.26263
0 0.74747 0.25253
0 0.75758 0.24242
0 0.76768 0.23232
0 0.77778 0.22222
0 0.78788 0.21212
0 0.79798 0.20202
0 0.80808 0.19192
0 0.81818 0.18182
0 0.82828 0.17172
0 0.83838 0.16162
0 0.84848 0.15152
0 0.85859 0.14141
0 0.86869 0.13131
0 0.87879 0.12121
0 0.88889 0.11111
0 0.89899 0.10101
0 0.90909 0.090909
0 0.91919 0.080808
0 0.92929 0.070707
0 0.93939 0.060606
0 0.94949 0.050505
0 0.9596 0.040404
0 0.9697 0.030303
0 0.9798 0.020202
0 0.9899 0.010101
0 1 0
0 0 1
5.1536e-05 0.010049 0.9899
0.00010307 0.020099 0.9798
0.00015461 0.030148 0.9697
0.00020614 0.040198 0.9596
0.00025768 0.050247 0.94949
0.00030921 0.060297 0.93939
0.00036075 0.070346 0.92929
0.00041229 0.080396 0.91919
0.00046382 0.090445 0.90909
0.00051536 0.10049 0.89899
0.00056689 0.11054 0.88889
0.00061843 0.12059 0.87879
0.00066996 0.13064 0.86869
0.0007215 0.14069 0.85859
0.00077304 0.15074 0.84848
0.00082457 0.16079 0.83838
0.00087611 0.17084 0.82828
0.00092764 0.18089 0.81818
0.00097918 0.19094 0.80808
0.0010307 0.20099 0.79798
