ZDT1 3.0 100.0
ZDT2 3 4
ZDT3 100 5.4446
ZDT4 3.0 100.0
ZDT6 1.497 4
DTLZ2.3D 1.18 1.18 1.18
WFG1.5D 20.0 20.0 20.0 20.0 20.0
WFG2.5D 20.0 20.0 20.0 20.0 20.0
UF1 2.0 2.0
UF2 2.0 2.0
UF3 2.0 2.0
UF4 2.0 2.0
UF5 2.0 2.0
UF6 2.0 2.0
UF7 2.0 2.0
UF8 2.0 2.0 2.0
UF9 2.0 2.0 2.0
UF10 2.0 2.0 2.0
CITO_OA_AJHotDraw 1400.0 540.0
CITO_OA_AJHsqldb 22100.0 3200.0
CITO_OA_HealthWatcher 850.0 380.0
CITO_OA_TollSystems 380.0 150.0
CITO_OO_BCEL 450.0 150.0
CITO_OO_JBoss 580.0 200.0
CITO_OO_JHotDraw 2900.0 750.0
CITO_OO_MyBatis 5400.0 750.0
