105.0 75.0 
372.0 47.0 
359.0 48.0 
111.0 70.0 
110.0 72.0 
97.0 86.0 
811.0 31.0 
519.0 41.0 
778.0 32.0 
762.0 33.0 
422.0 45.0 
730.0 34.0 
470.0 43.0 
503.0 42.0 
681.0 36.0 
438.0 44.0 
697.0 35.0 
403.0 46.0 
100.0 80.0 
104.0 76.0 
107.0 73.0 
103.0 79.0 
556.0 40.0 
977.0 25.0 
604.0 38.0 
638.0 37.0 
944.0 26.0 
896.0 28.0 
928.0 27.0 
847.0 30.0 
863.0 29.0 
588.0 39.0 
112.0 67.0 
313.0 50.0 
116.0 65.0 
304.0 51.0 
240.0 56.0 
224.0 57.0 
287.0 52.0 
193.0 59.0 
163.0 62.0 
209.0 58.0 
271.0 53.0 
329.0 49.0 
256.0 55.0 
178.0 61.0 
142.0 64.0 
