ZDT1 3.0 100.0
ZDT2 3 4
ZDT3 100 5.4446
ZDT4 3.0 100.0
ZDT6 1.497 4
DTLZ2.3D 1.18 1.18 1.18
WFG1.5D 20.0 20.0 20.0 20.0 20.0
WFG2.5D 20.0 20.0 20.0 20.0 20.0
UF1 5.0 5.0
UF2 3.0 3.0
UF3 7.0 7.0
UF4 2.0 2.0
UF5 12.0 12.0
UF6 19.0 19.0
UF7 5.0 5.0
UF8 18.0 18.0 18.0
UF9 20.0 20.0 20.0
UF10 75.0 75.0 75.0
CITO_OA_AJHotDraw 1400.0 540.0
CITO_OA_AJHsqldb 22100.0 3200.0
CITO_OA_HealthWatcher 850.0 380.0
CITO_OA_TollSystems 380.0 150.0
CITO_OO_BCEL 450.0 150.0
CITO_OO_JBoss 580.0 200.0
CITO_OO_JHotDraw 2900.0 750.0
CITO_OO_MyBatis 5400.0 750.0
